Name,Link,Difficulty,Category
Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/description/?envType=study-plan-v2&envId=top-interview-150,Hard,Array / String
Roman to Integer,https://leetcode.com/problems/roman-to-integer/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Array / String
Integer to Roman,https://leetcode.com/problems/integer-to-roman/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Array / String
Length of Last Word,https://leetcode.com/problems/length-of-last-word/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Array / String
Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Array / String
Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Array / String
Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Array / String
Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Array / String
Text Justification,https://leetcode.com/problems/text-justification/description/?envType=study-plan-v2&envId=top-interview-150,Hard,Array / String
Valid Palindrome,https://leetcode.com/problems/valid-palindrome/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Two Pointers
Is Subsequence,https://leetcode.com/problems/is-subsequence/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Two Pointers
Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Two Pointers
Container With Most Water,https://leetcode.com/problems/container-with-most-water/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Two Pointers
3Sum,https://leetcode.com/problems/3sum/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Two Pointers
Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Sliding Window
Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Sliding Window
Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words/description/?envType=study-plan-v2&envId=top-interview-150,Hard,Sliding Window
Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/description/?envType=study-plan-v2&envId=top-interview-150,Hard,Sliding Window
Valid Sudoku,https://leetcode.com/problems/valid-sudoku/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Matrix
Spiral Matrix,https://leetcode.com/problems/spiral-matrix/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Matrix
Rotate Image,https://leetcode.com/problems/rotate-image/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Matrix
Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Matrix
Game of Life,https://leetcode.com/problems/game-of-life/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Matrix
Ransom Note,https://leetcode.com/problems/ransom-note/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Hashmap
Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Hashmap
Word Pattern,https://leetcode.com/problems/word-pattern/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Hashmap
Valid Anagram,https://leetcode.com/problems/valid-anagram/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Hashmap
Group Anagrams,https://leetcode.com/problems/group-anagrams/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Hashmap
Two Sum,https://leetcode.com/problems/two-sum/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Hashmap
Happy Number,https://leetcode.com/problems/happy-number/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Hashmap
Contains Duplicate II,https://leetcode.com/problems/contains-duplicate-ii/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Hashmap
Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Hashmap
Summary Ranges,https://leetcode.com/problems/summary-ranges/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Intervals
Merge Intervals,https://leetcode.com/problems/merge-intervals/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Intervals
Insert Interval,https://leetcode.com/problems/insert-interval/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Intervals
Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Intervals
Valid Parentheses,https://leetcode.com/problems/valid-parentheses/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Stack
Simplify Path,https://leetcode.com/problems/simplify-path/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Stack
Min Stack,https://leetcode.com/problems/min-stack/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Stack
Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Stack
Basic Calculator,https://leetcode.com/problems/basic-calculator/description/?envType=study-plan-v2&envId=top-interview-150,Hard,Stack
Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Linked List
Add Two Numbers,https://leetcode.com/problems/add-two-numbers/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Linked List
Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Linked List
Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Linked List
Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Linked List
Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/description/?envType=study-plan-v2&envId=top-interview-150,Hard,Linked List
Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Linked List
Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Linked List
Rotate List,https://leetcode.com/problems/rotate-list/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Linked List
Partition List,https://leetcode.com/problems/partition-list/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Linked List
LRU Cache,https://leetcode.com/problems/lru-cache/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Linked List
Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Binary Tree General
Same Tree,https://leetcode.com/problems/same-tree/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Binary Tree General
Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Binary Tree General
Symmetric Tree,https://leetcode.com/problems/symmetric-tree/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Binary Tree General
Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Binary Tree General
Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Binary Tree General
Populating Next Right Pointers in Each Node II,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Binary Tree General
Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Binary Tree General
Path Sum,https://leetcode.com/problems/path-sum/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Binary Tree General
Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Binary Tree General
Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/description/?envType=study-plan-v2&envId=top-interview-150,Hard,Binary Tree General
Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Binary Tree General
Count Complete Tree Nodes,https://leetcode.com/problems/count-complete-tree-nodes/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Binary Tree General
Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Binary Tree General
Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Binary Tree BFS
Average of Levels in Binary Tree,https://leetcode.com/problems/average-of-levels-in-binary-tree/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Binary Tree BFS
Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Binary Tree BFS
Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Binary Tree BFS
Minimum Absolute Difference in BST,https://leetcode.com/problems/minimum-absolute-difference-in-bst/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Binary Search Tree
Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Binary Search Tree
Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Binary Search Tree
Number of Islands,https://leetcode.com/problems/number-of-islands/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Graph General
Surrounded Regions,https://leetcode.com/problems/surrounded-regions/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Graph General
Clone Graph,https://leetcode.com/problems/clone-graph/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Graph General
Evaluate Division,https://leetcode.com/problems/evaluate-division/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Graph General
Course Schedule,https://leetcode.com/problems/course-schedule/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Graph General
Course Schedule II,https://leetcode.com/problems/course-schedule-ii/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Graph General
Snakes and Ladders,https://leetcode.com/problems/snakes-and-ladders/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Graph BFS
Minimum Genetic Mutation,https://leetcode.com/problems/minimum-genetic-mutation/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Graph BFS
Word Ladder,https://leetcode.com/problems/word-ladder/description/?envType=study-plan-v2&envId=top-interview-150,Hard,Graph BFS
Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Trie
Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Trie
Word Search II,https://leetcode.com/problems/word-search-ii/description/?envType=study-plan-v2&envId=top-interview-150,Hard,Trie
Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Backtracking
Combinations,https://leetcode.com/problems/combinations/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Backtracking
Permutations,https://leetcode.com/problems/permutations/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Backtracking
Combination Sum,https://leetcode.com/problems/combination-sum/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Backtracking
N-Queens II,https://leetcode.com/problems/n-queens-ii/description/?envType=study-plan-v2&envId=top-interview-150,Hard,Backtracking
Generate Parentheses,https://leetcode.com/problems/generate-parentheses/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Backtracking
Word Search,https://leetcode.com/problems/word-search/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Backtracking
Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Divide & Conquer
Sort List,https://leetcode.com/problems/sort-list/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Divide & Conquer
Construct Quad Tree,https://leetcode.com/problems/construct-quad-tree/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Divide & Conquer
Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/description/?envType=study-plan-v2&envId=top-interview-150,Hard,Divide & Conquer
Maximum Subarray,https://leetcode.com/problems/maximum-subarray/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Kadane's Algorithm
Maximum Sum Circular Subarray,https://leetcode.com/problems/maximum-sum-circular-subarray/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Kadane's Algorithm
Search Insert Position,https://leetcode.com/problems/search-insert-position/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Binary Search
Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Binary Search
Find Peak Element,https://leetcode.com/problems/find-peak-element/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Binary Search
Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Binary Search
Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Binary Search
Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Binary Search
Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/description/?envType=study-plan-v2&envId=top-interview-150,Hard,Binary Search
Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Heap
IPO,https://leetcode.com/problems/ipo/description/?envType=study-plan-v2&envId=top-interview-150,Hard,Heap
Find K Pairs with Smallest Sums,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Heap
Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/description/?envType=study-plan-v2&envId=top-interview-150,Hard,Heap
Add Binary,https://leetcode.com/problems/add-binary/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Bit Manipulation
Reverse Bits,https://leetcode.com/problems/reverse-bits/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Bit Manipulation
Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Bit Manipulation
Single Number,https://leetcode.com/problems/single-number/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Bit Manipulation
Single Number II,https://leetcode.com/problems/single-number-ii/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Bit Manipulation
Bitwise AND of Numbers Range,https://leetcode.com/problems/bitwise-and-of-numbers-range/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Bit Manipulation
Palindrome Number,https://leetcode.com/problems/palindrome-number/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Math
Plus One,https://leetcode.com/problems/plus-one/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Math
Factorial Trailing Zeroes,https://leetcode.com/problems/factorial-trailing-zeroes/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Math
Sqrt(x),https://leetcode.com/problems/sqrtx/description/?envType=study-plan-v2&envId=top-interview-150,Easy,Math
"Pow(x, n)",https://leetcode.com/problems/powx-n/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Math
Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/description/?envType=study-plan-v2&envId=top-interview-150,Hard,Math
Climbing Stairs,https://leetcode.com/problems/climbing-stairs/description/?envType=study-plan-v2&envId=top-interview-150,Easy,1D DP
House Robber,https://leetcode.com/problems/house-robber/description/?envType=study-plan-v2&envId=top-interview-150,Medium,1D DP
Word Break,https://leetcode.com/problems/word-break/description/?envType=study-plan-v2&envId=top-interview-150,Medium,1D DP
Coin Change,https://leetcode.com/problems/coin-change/description/?envType=study-plan-v2&envId=top-interview-150,Medium,1D DP
Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/description/?envType=study-plan-v2&envId=top-interview-150,Medium,1D DP
Triangle,https://leetcode.com/problems/triangle/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Multidimensional DP
Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Multidimensional DP
Unique Paths II,https://leetcode.com/problems/unique-paths-ii/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Multidimensional DP
Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Multidimensional DP
Interleaving String,https://leetcode.com/problems/interleaving-string/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Multidimensional DP
Edit Distance,https://leetcode.com/problems/edit-distance/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Multidimensional DP
Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/description/?envType=study-plan-v2&envId=top-interview-150,Hard,Multidimensional DP
Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/description/?envType=study-plan-v2&envId=top-interview-150,Hard,Multidimensional DP
Maximal Square,https://leetcode.com/problems/maximal-square/description/?envType=study-plan-v2&envId=top-interview-150,Medium,Multidimensional DP
